batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,batchElapsedMs
23,1,8,26.809,SUCCESS,,87.675
23,2,8,75.393,BUSINESS_REJECTION,BidAmountTooLowException,87.675
23,3,8,66.095,BUSINESS_REJECTION,BidAmountTooLowException,87.675
23,4,8,60.228,BUSINESS_REJECTION,BidAmountTooLowException,87.675
23,5,8,70.021,BUSINESS_REJECTION,BidAmountTooLowException,87.675
23,6,8,49.868,SUCCESS,,87.675
23,7,8,87.441,SUCCESS,,87.675
24,0,8,70.277,BUSINESS_REJECTION,BidAmountTooLowException,70.421
24,1,8,66.474,BUSINESS_REJECTION,BidAmountTooLowException,70.421
24,2,8,42.385,BUSINESS_REJECTION,BidAmountTooLowException,70.421
24,3,8,59.501,BUSINESS_REJECTION,BidAmountTooLowException,70.421
24,4,8,36.935,BUSINESS_REJECTION,BidAmountTooLowException,70.421
24,5,8,19.130,SUCCESS,,70.421
24,6,8,30.918,SUCCESS,,70.421
24,7,8,52.865,SUCCESS,,70.421
25,0,8,91.045,BUSINESS_REJECTION,BidAmountTooLowException,91.095
25,1,8,61.761,BUSINESS_REJECTION,BidAmountTooLowException,91.095
25,2,8,33.273,BUSINESS_REJECTION,BidAmountTooLowException,91.095
25,3,8,25.991,SUCCESS,,91.095
25,4,8,55.414,BUSINESS_REJECTION,BidAmountTooLowException,91.095
25,5,8,46.754,SUCCESS,,91.095
25,6,8,72.260,SUCCESS,,91.095
25,7,8,84.643,SUCCESS,,91.095
26,0,8,79.832,BUSINESS_REJECTION,BidAmountTooLowException,92.368
26,1,8,21.159,SUCCESS,,92.368
26,2,8,59.855,BUSINESS_REJECTION,BidAmountTooLowException,92.368
26,3,8,33.600,SUCCESS,,92.368
26,4,8,54.218,BUSINESS_REJECTION,BidAmountTooLowException,92.368
26,5,8,47.343,SUCCESS,,92.368
26,6,8,72.596,SUCCESS,,92.368
26,7,8,92.212,SUCCESS,,92.368
27,0,8,43.931,BUSINESS_REJECTION,BidAmountTooLowException,91.116
27,1,8,23.181,SUCCESS,,91.116
27,2,8,76.872,BUSINESS_REJECTION,BidAmountTooLowException,91.116
27,3,8,50.836,BUSINESS_REJECTION,BidAmountTooLowException,91.116
27,4,8,70.433,BUSINESS_REJECTION,BidAmountTooLowException,91.116
27,5,8,36.683,SUCCESS,,91.116
27,6,8,63.447,SUCCESS,,91.116
27,7,8,90.821,SUCCESS,,91.116
28,0,8,64.274,BUSINESS_REJECTION,BidAmountTooLowException,75.001
28,1,8,69.322,BUSINESS_REJECTION,BidAmountTooLowException,75.001
28,2,8,74.943,BUSINESS_REJECTION,BidAmountTooLowException,75.001
