batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,attemptsUsed,retryCount,conflictCount,exhausted,batchElapsedMs
21,0,8,32.057,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.899
21,1,8,32.038,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.899
21,2,8,32.093,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.899
21,3,8,32.018,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.899
21,4,8,40.778,SUCCESS,,1,0,0,false,40.899
21,5,8,32.002,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.899
21,6,8,31.921,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.899
21,7,8,31.978,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.899
22,0,8,34.997,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.698
22,1,8,35.001,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.698
22,2,8,34.982,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.698
22,3,8,35.013,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.698
22,4,8,34.935,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.698
22,5,8,34.872,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.698
22,6,8,39.570,SUCCESS,,1,0,0,false,39.698
22,7,8,34.898,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.698
23,0,8,31.561,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.325
23,1,8,31.560,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.325
23,2,8,37.264,SUCCESS,,1,0,0,false,37.325
23,3,8,31.598,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.325
23,4,8,31.266,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.325
23,5,8,31.548,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.325
23,6,8,31.467,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.325
23,7,8,31.547,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,37.325
24,0,8,36.164,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.288
24,1,8,36.805,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.288
24,2,8,36.132,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.288
24,3,8,36.034,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.288
24,4,8,36.018,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.288
24,5,8,35.990,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.288
24,6,8,36.205,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,41.288
